"X"
123
120
127.5
125.8
115.5
120
116.5
123.2
123.2
121
118.5
121.3
122
119.5
124.5
117.2
121.5
123.5
124.2
118.5
119.5
121
123.3
117.2
122
130
118.5
116.5
120
117
115.5
119
118
121
121.5
121.5
118.9
119.5
115
123
124.5
122.3
117.9
122
124
120.2
122.8
115
123.5
121.8
119.5
125
120.2
118
127
118
121
121.2
120
122.5
125.5
120.5
121
123.6
118.5
120.5
122.5
121.8
125
117
128
123.2
117
116
119.5
120.5
119
121.5
124
117
116.1
124.5
119.3
120.9
121.5
123
122.5
121.5
127
124
119
119.5
123
121.5
121.5
